,AAPL,MSFT,XOM,GOOGL,BRK-B,JNJ,WFC,WMT,PG,JPM,AMZN,META,GE,BAC,V,TSLA,NVDA,UNH,LLY,AVGO,005930,005380,000660,005490,012330,017670,032830,035420,000270,090430,028260,051910,068270,207940,105560,055550,006400,035720,373220,^GSPC,^IXIC,^DJI,KS11,KS200
2023-02-01,145.42999267578125,252.75,114.73999786376953,100.43000030517578,310.57000732421875,164.9199981689453,47.33000183105469,48.223331451416016,143.19000244140625,139.58999633789062,105.1500015258789,153.1199951171875,65.69832611083984,35.91999816894531,230.89999389648438,181.41000366210938,20.94300079345703,497.0,342.57000732421875,60.275001525878906,61800.0,170000.0,91400.0,303500.0,208000.0,46150.0,71400.0,205500.0,69500.0,141400.0,118800.0,688000.0,148892.0,1183282.0,57400.0,42450.0,704903.0,62200.0,522000.0,4119.2099609375,11816.3203125,34092.9609375,2449.8,321.19
2023-02-02,150.82000732421875,264.6000061035156,111.1500015258789,107.73999786376953,311.8599853515625,165.5399932861328,47.22999954223633,47.87333297729492,142.1699981689453,138.94000244140625,112.91000366210938,188.77000427246094,66.99121856689453,36.130001068115234,229.55999755859375,188.27000427246094,21.708999633789062,470.8299865722656,330.70001220703125,60.57699966430664,63500.0,169900.0,93400.0,303500.0,206000.0,46300.0,68200.0,211500.0,69700.0,151000.0,115300.0,676000.0,148541.0,1195056.0,56400.0,41250.0,700987.0,64500.0,533000.0,4179.759765625,12200.8203125,34053.94140625,2468.88,323.93
2023-02-03,154.5,258.3500061035156,111.91999816894531,104.77999877929688,308.510009765625,164.61000061035156,47.58000183105469,47.23666763305664,142.61000061035156,141.08999633789062,103.38999938964844,186.52999877929688,65.4110107421875,36.43000030517578,230.1300048828125,189.97999572753906,21.100000381469727,472.0199890136719,339.0799865722656,59.762001037597656,63800.0,172800.0,92200.0,303000.0,208500.0,46350.0,67200.0,223500.0,71200.0,149600.0,114100.0,674000.0,148277.0,1193584.0,56900.0,41650.0,699029.0,67200.0,535000.0,4136.47998046875,12006.9501953125,33926.01171875,2480.4,325.86
2023-02-06,151.72999572753906,256.7699890136719,111.7300033569336,102.9000015258789,308.42999267578125,163.36000061035156,47.68000030517578,46.893333435058594,141.39999389648438,141.9199981689453,102.18000030517578,186.05999755859375,65.7222671508789,36.369998931884766,229.44000244140625,194.75999450683594,21.089000701904297,475.239990234375,337.6600036621094,60.130001068115234,61600.0,170700.0,89100.0,298000.0,205500.0,46250.0,66900.0,215500.0,70500.0,148200.0,113700.0,658000.0,145823.0,1187697.0,55700.0,40950.0,686302.0,65200.0,525000.0,4111.080078125,11887.4501953125,33891.01953125,2438.19,318.83
2023-02-07,154.64999389648438,267.55999755859375,114.91999816894531,107.63999938964844,312.9700012207031,163.39999389648438,48.130001068115234,46.99333190917969,140.02000427246094,143.64999389648438,102.11000061035156,191.6199951171875,65.53072357177734,36.77000045776367,231.32000732421875,196.80999755859375,22.17300033569336,476.8800048828125,339.67999267578125,61.44499969482422,61900.0,170500.0,90800.0,298500.0,206500.0,46700.0,66600.0,219500.0,71300.0,149100.0,113900.0,681000.0,145910.0,1196528.0,55500.0,40800.0,696092.0,68000.0,542000.0,4164.0,12113.7900390625,34156.69140625,2451.71,320.55
2023-02-08,151.9199981689453,266.7300109863281,113.91999816894531,99.37000274658203,308.4800109863281,163.61000061035156,48.25,46.7400016784668,138.57000732421875,142.63999938964844,100.05000305175781,183.42999267578125,65.4110107421875,36.5,230.1999969482422,201.2899932861328,22.204999923706055,483.2200012207031,340.7300109863281,60.17100143432617,63100.0,172700.0,94900.0,298000.0,207500.0,46700.0,67600.0,230500.0,71500.0,149200.0,114400.0,672000.0,146436.0,1200943.0,55700.0,41550.0,714694.0,69100.0,546000.0,4117.85986328125,11910.51953125,33949.01171875,2483.64,325.63
2023-02-09,150.8699951171875,263.6199951171875,114.3499984741211,95.01000213623047,307.2099914550781,161.39999389648438,47.56999969482422,47.17333221435547,137.0500030517578,140.4199981689453,98.23999786376953,177.9199981689453,64.47725677490234,35.720001220703125,229.35000610351562,207.32000732421875,22.336999893188477,485.7300109863281,341.7900085449219,59.941001892089844,63000.0,172600.0,94400.0,306000.0,206500.0,46700.0,66900.0,230000.0,71700.0,152500.0,113500.0,680000.0,145209.0,1198000.0,54200.0,40000.0,722526.0,70900.0,550000.0,4081.5,11789.580078125,33699.87890625,2481.52,324.9
2023-02-10,151.00999450683594,263.1000061035156,119.16999816894531,94.56999969482422,309.8900146484375,162.14999389648438,47.5099983215332,47.90666580200195,138.25999450683594,141.0399932861328,97.61000061035156,174.14999389648438,64.87629699707031,35.58000183105469,227.1999969482422,196.88999938964844,21.264999389648438,494.25,345.1199951171875,59.32500076293945,62800.0,173400.0,93500.0,300000.0,208000.0,47000.0,67700.0,230000.0,72400.0,153000.0,113500.0,673000.0,142403.0,1189169.0,55700.0,41100.0,719589.0,67600.0,542000.0,4090.4599609375,11718.1201171875,33869.26953125,2469.73,323.69
2023-02-13,153.85000610351562,271.32000732421875,117.80000305175781,94.61000061035156,313.739990234375,162.75,48.130001068115234,48.63666534423828,140.07000732421875,142.57000732421875,99.54000091552734,179.42999267578125,65.98563385009766,35.650001525878906,228.8800048828125,194.63999938964844,21.788000106811523,495.3500061035156,350.3999938964844,60.11199951171875,62900.0,171600.0,90600.0,304500.0,207500.0,47700.0,67100.0,223000.0,73200.0,149100.0,113800.0,670000.0,141263.0,1187697.0,55300.0,40800.0,707841.0,64300.0,522000.0,4137.2900390625,11891.7900390625,34245.9296875,2452.7,321.75
2023-02-14,153.1999969482422,272.1700134277344,116.41999816894531,94.68000030517578,310.7900085449219,162.0399932861328,48.5,48.496665954589844,139.27999877929688,143.1999969482422,99.69999694824219,179.47999572753906,66.67198944091797,35.619998931884766,229.38999938964844,209.25,22.97100067138672,492.8299865722656,347.55999755859375,60.23099899291992,63200.0,173700.0,93400.0,307000.0,213000.0,47700.0,67100.0,224000.0,73500.0,151900.0,113100.0,676000.0,141526.0,1184754.0,53000.0,39450.0,723505.0,65000.0,525000.0,4136.1298828125,11960.150390625,34089.26953125,2465.64,323.47
2023-02-15,155.3300018310547,269.32000732421875,116.06999969482422,96.94000244140625,309.6300048828125,159.3699951171875,47.970001220703125,48.856666564941406,138.9600067138672,143.8000030517578,101.16000366210938,177.16000366210938,67.65363311767578,35.560001373291016,228.9199981689453,214.24000549316406,22.763999938964844,491.25,335.010009765625,60.76900100708008,62200.0,172700.0,91700.0,325500.0,211500.0,46600.0,66800.0,215500.0,72600.0,148900.0,111300.0,674000.0,137316.0,1168565.0,50400.0,38050.0,710778.0,63600.0,527000.0,4147.60009765625,12070.58984375,34128.05078125,2427.9,317.99
2023-02-16,153.7100067138672,262.1499938964844,115.7300033569336,95.51000213623047,308.17999267578125,158.24000549316406,47.220001220703125,48.09000015258789,137.13999938964844,141.82000732421875,98.1500015258789,172.44000244140625,67.07901000976562,35.279998779296875,225.8300018310547,202.0399932861328,22.00200080871582,487.3500061035156,326.07000732421875,60.05400085449219,63700.0,179300.0,92900.0,329000.0,215000.0,44600.0,67200.0,220500.0,76500.0,149500.0,115500.0,717000.0,137930.0,1190641.0,49800.0,37900.0,718610.0,64200.0,549000.0,4090.409912109375,11855.830078125,33696.8515625,2475.48,324.1
2023-02-17,152.5500030517578,258.05999755859375,111.27999877929688,94.3499984741211,308.239990234375,160.38999938964844,47.4900016784668,48.813331604003906,140.00999450683594,142.24000549316406,97.19999694824219,172.8800048828125,66.27294158935547,35.349998474121094,223.55999755859375,208.30999755859375,21.38800048828125,499.0799865722656,328.3999938964844,59.558998107910156,62600.0,179000.0,92000.0,334000.0,213000.0,44400.0,67000.0,215500.0,76400.0,146500.0,116100.0,689000.0,135650.0,1175923.0,50000.0,38350.0,688260.0,63300.0,533000.0,4079.090087890625,11787.26953125,33826.69140625,2451.21,320.78
2023-02-20,,,,,,,,,,,,,,,,,,,,,62700.0,178200.0,92500.0,346000.0,213500.0,44700.0,67100.0,219000.0,76300.0,149900.0,115300.0,667000.0,137667.0,1184754.0,50700.0,38800.0,677490.0,64200.0,516000.0,,,,2455.12,321.79
2023-02-21,148.47999572753906,252.6699981689453,111.16999816894531,91.79000091552734,302.7200012207031,158.0,46.2400016784668,49.11000061035156,139.91000366210938,139.6300048828125,94.58000183105469,172.0800018310547,65.65043640136719,34.52000045776367,220.6199951171875,197.3699951171875,20.655000686645508,491.30999755859375,327.510009765625,58.15399932861328,62100.0,178200.0,91200.0,346000.0,215000.0,45050.0,67200.0,215500.0,76600.0,146700.0,114900.0,687000.0,135739.0,1177395.0,50600.0,39050.0,677490.0,63100.0,520000.0,3997.340087890625,11492.2998046875,33129.58984375,2458.96,321.56
2023-02-22,148.91000366210938,251.50999450683594,109.7300033569336,91.6500015258789,303.1600036621094,157.77999877929688,46.0099983215332,48.08000183105469,140.5,138.55999755859375,95.79000091552734,171.1199951171875,66.39265441894531,34.290000915527344,220.02000427246094,200.86000061035156,20.753999710083008,488.8900146484375,329.07000732421875,57.617000579833984,61100.0,174200.0,89100.0,332000.0,214000.0,45100.0,67300.0,211500.0,74500.0,144700.0,113200.0,666000.0,130652.0,1159734.0,49700.0,38300.0,669658.0,62200.0,508000.0,3991.050048828125,11507.0703125,33045.08984375,2417.68,315.94
2023-02-23,149.39999389648438,254.77000427246094,110.73999786376953,90.88999938964844,303.07000732421875,157.72999572753906,46.25,47.36333465576172,140.0500030517578,139.6699981689453,95.81999969482422,172.0399932861328,66.1931381225586,34.2599983215332,221.1300048828125,202.07000732421875,23.663999557495117,491.69000244140625,327.5199890136719,58.380001068115234,62000.0,176200.0,92700.0,331500.0,217500.0,44900.0,67600.0,213500.0,76400.0,146100.0,113100.0,668000.0,130652.0,1161206.0,50000.0,38650.0,666721.0,62500.0,507000.0,4012.320068359375,11590.400390625,33153.91015625,2439.09,319.44
2023-02-24,146.7100067138672,249.22000122070312,110.75,89.12999725341797,304.0199890136719,155.97000122070312,46.619998931884766,47.4900016784668,139.25999450683594,140.92999267578125,93.5,170.38999938964844,66.67996978759766,34.209999084472656,219.5500030517578,196.8800048828125,23.285999298095703,484.3299865722656,321.6400146484375,57.775001525878906,61300.0,173900.0,91000.0,322000.0,219000.0,45100.0,67800.0,208000.0,75300.0,144800.0,112400.0,669000.0,130916.0,1152375.0,50700.0,38750.0,665742.0,61800.0,511000.0,3970.0400390625,11394.9404296875,32816.921875,2423.61,316.94
2023-02-27,147.9199981689453,250.16000366210938,110.55000305175781,89.87000274658203,304.6600036621094,155.6300048828125,46.779998779296875,47.14666748046875,139.13999938964844,142.16000366210938,93.76000213623047,169.5399932861328,66.91141510009766,34.209999084472656,220.35000610351562,207.6300048828125,23.500999450683594,483.32000732421875,316.6199951171875,58.54499816894531,60500.0,173300.0,90000.0,319000.0,214000.0,44950.0,67300.0,208000.0,76000.0,140600.0,111400.0,657000.0,128022.0,1133243.0,50600.0,38450.0,663784.0,61900.0,508000.0,3982.239990234375,11466.98046875,32889.08984375,2402.64,313.94
2023-02-28,147.41000366210938,249.4199981689453,109.91000366210938,90.05999755859375,305.17999267578125,153.25999450683594,46.77000045776367,47.37666702270508,137.55999755859375,143.35000610351562,94.2300033569336,174.94000244140625,67.60574340820312,34.29999923706055,219.94000244140625,205.7100067138672,23.215999603271484,475.94000244140625,311.2200012207031,59.42900085449219,60600.0,176300.0,89400.0,318000.0,212500.0,45150.0,68100.0,208500.0,75300.0,138400.0,110100.0,680000.0,127321.0,1137658.0,51300.0,38850.0,681407.0,62400.0,523000.0,3970.14990234375,11455.5400390625,32656.69921875,2412.85,314.8
2023-03-01,145.30999755859375,246.27000427246094,110.88999938964844,90.36000061035156,304.6199951171875,152.57000732421875,46.68000030517578,46.71666717529297,137.66000366210938,142.5500030517578,92.16999816894531,173.4199981689453,67.15084075927734,34.13999938964844,218.36000061035156,202.77000427246094,22.697999954223633,475.2200012207031,314.1700134277344,59.356998443603516,,,,,,,,,,,,,,,,,,,,3951.389892578125,11379.48046875,32661.83984375,,
2023-03-02,145.91000366210938,251.11000061035156,111.4000015258789,92.0,307.75,152.4499969482422,45.79999923706055,46.83333206176758,139.92999267578125,141.07000732421875,92.12999725341797,174.52999877929688,68.41181182861328,33.4900016784668,219.05999755859375,190.89999389648438,23.31399917602539,477.70001220703125,315.04998779296875,59.8650016784668,60800.0,178500.0,88100.0,337000.0,217000.0,45050.0,67400.0,206000.0,77800.0,144600.0,110900.0,678000.0,126005.0,1136186.0,50600.0,37700.0,695113.0,61200.0,535000.0,3981.35009765625,11462.98046875,33003.5703125,2427.85,316.26
2023-03-03,151.02999877929688,255.2899932861328,112.80999755859375,93.6500015258789,312.45001220703125,154.02000427246094,46.849998474121094,46.88999938964844,140.9499969482422,143.66000366210938,94.9000015258789,185.25,68.93854522705078,34.15999984741211,223.77000427246094,197.7899932861328,23.889999389648438,478.55999755859375,318.42999267578125,63.2760009765625,60500.0,176100.0,87300.0,332000.0,216500.0,45600.0,66900.0,205500.0,78200.0,145700.0,110400.0,703000.0,132055.0,1159734.0,50000.0,37050.0,715673.0,61000.0,538000.0,4045.639892578125,11689.009765625,33390.96875,2432.07,316.36
2023-03-06,153.8300018310547,256.8699951171875,113.80999755859375,95.12999725341797,316.9700012207031,155.55999755859375,46.630001068115234,46.883331298828125,140.35000610351562,142.82000732421875,93.75,184.89999389648438,69.48124694824219,34.09000015258789,226.75,193.80999755859375,23.554000854492188,480.7799987792969,318.9599914550781,63.29199981689453,61500.0,177500.0,89700.0,329500.0,219000.0,46250.0,67300.0,214500.0,78500.0,144000.0,112000.0,726000.0,133107.0,1178867.0,50200.0,37050.0,764624.0,63600.0,547000.0,4048.419921875,11675.740234375,33431.44140625,2462.62,320.94
2023-03-07,151.60000610351562,254.14999389648438,111.61000061035156,93.86000061035156,311.1199951171875,154.08999633789062,44.45000076293945,46.41666793823242,137.55999755859375,138.6199951171875,93.55000305175781,184.50999450683594,68.94652557373047,33.0,223.1699981689453,187.7100067138672,23.288000106811523,473.8800048828125,310.6300048828125,62.51499938964844,60700.0,175100.0,88900.0,335000.0,218000.0,47450.0,67300.0,211000.0,77600.0,141500.0,110700.0,740000.0,136265.0,1168565.0,50800.0,36800.0,776373.0,61500.0,566000.0,3986.3701171875,11530.330078125,32856.4609375,2463.35,319.8
2023-03-08,152.8699951171875,253.6999969482422,109.9800033569336,94.25,311.3699951171875,152.9600067138672,43.84000015258789,46.03333282470703,137.5800018310547,137.8000030517578,93.91999816894531,184.97000122070312,69.41739654541016,32.560001373291016,222.19000244140625,182.0,24.180999755859375,470.6000061035156,312.5400085449219,63.22600173950195,60300.0,174900.0,86800.0,329000.0,215500.0,46700.0,66400.0,202500.0,78900.0,135700.0,111000.0,715000.0,135300.0,1143545.0,50600.0,36600.0,738191.0,59100.0,562000.0,3992.010009765625,11576.0,32798.3984375,2431.91,315.38
2023-03-09,150.58999633789062,252.32000732421875,109.12999725341797,92.31999969482422,304.82000732421875,151.24000549316406,41.130001068115234,45.723331451416016,136.57000732421875,130.33999633789062,92.25,181.69000244140625,73.07262420654297,30.540000915527344,220.00999450683594,172.9199981689453,23.43600082397461,464.9100036621094,316.8500061035156,62.25199890136719,60100.0,176300.0,85600.0,322500.0,220000.0,47500.0,66600.0,202000.0,78100.0,133700.0,110000.0,710000.0,137843.0,1134714.0,50700.0,36400.0,716652.0,59000.0,549000.0,3918.320068359375,11338.349609375,32254.859375,2419.09,314.04
2023-03-10,148.5,248.58999633789062,107.77999877929688,90.62999725341797,303.6300048828125,151.61000061035156,41.36000061035156,45.65666580200195,137.19000244140625,133.64999389648438,90.7300033569336,179.50999450683594,72.62569427490234,30.270000457763672,216.13999938964844,173.44000244140625,22.96500015258789,460.3299865722656,315.0199890136719,61.483001708984375,59500.0,175000.0,83300.0,320500.0,216500.0,46600.0,66600.0,199800.0,78000.0,127400.0,109300.0,707000.0,135650.0,1142073.0,49700.0,35800.0,721547.0,58100.0,551000.0,3861.590087890625,11138.8896484375,31909.640625,2394.59,310.65
